bioguide,first_name,last_name,state,district,problem_solvers,governance_group,main_street,study_committee,freedom_caucus
D000616,Scott,DesJarlais,TN,4,FALSE,FALSE,FALSE,TRUE,TRUE
D000600,Mario,Diaz-Balart,FL,26,FALSE,TRUE,TRUE,FALSE,FALSE
D000032,Byron,Donalds,FL,19,FALSE,FALSE,FALSE,TRUE,TRUE
D000633,John,Duarte,CA,13,FALSE,FALSE,TRUE,FALSE,FALSE
D000615,Jeff,Duncan,SC,3,FALSE,FALSE,FALSE,TRUE,FALSE
D000628,Neal,Dunn,FL,2,FALSE,FALSE,FALSE,TRUE,FALSE
E000246,Chuck,Edwards,NC,11,TRUE,FALSE,TRUE,TRUE,FALSE
E000071,Jake,Ellzey,TX,6,FALSE,FALSE,TRUE,FALSE,FALSE
E000294,Tom,Emmer,MN,6,FALSE,FALSE,FALSE,TRUE,FALSE
E000298,Ron,Estes,KS,4,FALSE,FALSE,FALSE,TRUE,FALSE
E000235,Mike,Ezell,MS,4,FALSE,FALSE,FALSE,TRUE,FALSE
F000246,Pat,Fallon,TX,4,FALSE,FALSE,FALSE,TRUE,FALSE
F000446,Randy,Feenstra,IA,4,FALSE,FALSE,TRUE,TRUE,FALSE
F000465,Drew,Ferguson,GA,3,FALSE,FALSE,FALSE,TRUE,FALSE
F000475,Brad,Finstad,MN,1,FALSE,FALSE,TRUE,TRUE,FALSE
F000470,Michelle,Fischbach,MN,7,FALSE,FALSE,FALSE,TRUE,FALSE
F000471,Scott,Fitzgerald,WI,5,FALSE,FALSE,FALSE,TRUE,FALSE
F000466,Brian,Fitzpatrick,PA,1,TRUE,TRUE,TRUE,FALSE,FALSE
F000459,"Charles J. ""Chuck""",Fleischmann,TN,3,FALSE,FALSE,FALSE,TRUE,FALSE
F000474,Mike,Flood,NE,1,FALSE,FALSE,TRUE,TRUE,FALSE
F000450,Virginia,Foxx,NC,5,FALSE,FALSE,FALSE,TRUE,FALSE
F000472,C. Scott,Franklin,FL,18,FALSE,FALSE,FALSE,TRUE,FALSE
F000478,Russell,Fry,SC,7,FALSE,FALSE,FALSE,TRUE,FALSE
F000469,Russ,Fulcher,ID,1,FALSE,FALSE,FALSE,TRUE,TRUE
G000578,Matt,Gaetz,FL,1,FALSE,FALSE,FALSE,FALSE,FALSE
G000579,Mike,Gallagher,WI,8,TRUE,TRUE,TRUE,FALSE,FALSE
G000597,Andrew R.,Garbarino,NY,2,TRUE,TRUE,TRUE,FALSE,FALSE
G000061,Mike,Garcia,CA,27,FALSE,FALSE,FALSE,TRUE,FALSE
G000593,Carlos A. ,Giménez,FL,28,FALSE,TRUE,TRUE,TRUE,FALSE
G000594,Tony,Gonzales,TX,23,TRUE,FALSE,FALSE,TRUE,FALSE
G000595,Bob,Good,VA,5,FALSE,FALSE,FALSE,TRUE,TRUE
G000589,Lance,Gooden,TX,5,FALSE,FALSE,FALSE,TRUE,FALSE
G000565,Paul A.,Gosar,AZ,9,FALSE,FALSE,FALSE,TRUE,TRUE
G000377,Kay,Granger,TX,12,FALSE,FALSE,FALSE,TRUE,FALSE
G000577,Garret,Graves,LA,6,FALSE,FALSE,FALSE,TRUE,FALSE
G000546,Sam,Graves,MO,6,FALSE,FALSE,FALSE,FALSE,FALSE
G000590,Mark,Green,TN,7,FALSE,FALSE,FALSE,TRUE,TRUE
G000596,Marjorie Taylor,Greene,GA,14,FALSE,FALSE,FALSE,TRUE,TRUE
G000568,H. Morgan,Griffith,VA,9,FALSE,FALSE,FALSE,FALSE,TRUE
G000576,Glenn,Grothman,WI,6,FALSE,FALSE,FALSE,TRUE,FALSE
G000591,Michael,Guest,MS,3,FALSE,FALSE,TRUE,TRUE,FALSE
G000558,Brett,Guthrie,KY,2,FALSE,FALSE,FALSE,TRUE,FALSE
H001096,Harriet,Hageman,WY,0,FALSE,FALSE,FALSE,TRUE,TRUE
